target.effect,orig.study.number,rep.study.number,orig.N,orig.ES.type,orig.ES,orig.ES.CI,rep.N,rep.ES.type,rep.ES,rep.ES.CI,rep.outcome,IVs,DVs,rep.type,rep.effort.type,rep.method.differences,rep.active.sample.evidence,other.outcomes,ES.description,EC.URL,orig.study.article.URL,orig.study.article.DOI,rep.study.article.URL,rep.pre.reg.URL,rep.open.materials.URL,rep.open.data.URL,orig.open.data.URL,orig.open.materials.URL,orig.pre.reg.URL,rep.population,discipline,orig.study.pub.year,reporting.standard.used,effect.description,design,statistical.effect.type,orig.test.statistic,orig.pvalue,rep.outcome.bayesian,orig.article.title,RPP.orig.untransformed.ES,RPP.rep.untransformed.ES,RPP.interpretation,RPP.study.number,study.order.CS,rep.num.in.set,social.priming,include.in.HTML.table,rep.num
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Kappes (2014,LSE)",66,d,.50,.50,275,d,.04,.24,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #47,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,11,yes,yes,153
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Huntsinger & Mallett (2014,Luc)",66,d,.50,.50,145,d,.06,.32,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #48,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,12,yes,yes,154
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Morris (2014,McDaniel)",66,d,.50,.50,98,d,.09,.40,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #49,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,13,yes,yes,155
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Furrow & Thompson (2014,MSVU)",66,d,.50,.50,85,d,.09,.43,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #50,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,14,yes,yes,156
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Schmidt & Nosek (2014, MTURK)",66,d,.50,.50,982,d,.09,.12,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #51,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,15,yes,yes,157
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Smith (2014,OSU)",66,d,.50,.50,97,d,.27,.40,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #52,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,16,yes,yes,158
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Levitan (2014,Oxy)",66,d,.50,.50,121,d,-.01,.36,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #53,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,17,yes,yes,159
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Schmidt & Nosek (2014,PI)",66,d,.50,.50,1320,d,.03,.11,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #54,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,18,yes,yes,160
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Adams & Nelson (2014,PSU)",66,d,.50,.50,91,d,.02,.42,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #55,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,19,yes,yes,161
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Brumbaugh & Storbeck (2014,QCCUNY) Study 1",66,d,.50,.50,99,d,-.22,.40,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #56,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,20,yes,yes,162
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Brumbaugh & Storbeck (2014,QCCUNY2) Study 2",66,d,.50,.50,85,d,.02,.43,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #57,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,21,yes,yes,163
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Devos (2014,SDSU)",66,d,.50,.50,160,d,-.11,.32,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #58,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,22,yes,yes,164
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Bocian & Frankowska (2014,SWPS) Study 1",66,d,.50,.50,78,d,.19,.45,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #59,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,23,yes,yes,165
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Bocian & Frankowska (2014,SWPSON) Study 2",66,d,.50,.50,169,d,-.22,.30,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #60,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,24,yes,yes,166
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Davis & Hicks (2014,TAMU) Study 1",66,d,.50,.50,182,d,-.27,.30,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #61,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,25,yes,yes,167
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Hunt & Krueger (2014,TAMUC)",66,d,.50,.50,86,d,.27,.43,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #62,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,26,yes,yes,168
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Davis & Hicks (2014,TAMUON) Study 2",66,d,.50,.50,218,d,-.03,.27,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #63,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,27,yes,yes,169
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Brandt et al. (2014,Tilburg)",66,d,.50,.50,79,d,.21,.44,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #64,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,28,yes,yes,170
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Klein et al. (2014,UFL)",66,d,.50,.50,126,d,-.11,.36,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #65,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,29,yes,yes,171
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Vianello & Galliani (2014,UNIPD)",66,d,.50,.50,142,d,.49,.34,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),close,ML1 #66,non-US sample,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,30,yes,yes,172
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Schmidt & Nosek (2014,UVA)",66,d,.50,.50,80,d,-.15,.44,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #67,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,31,yes,yes,173
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Hovermale & Joy-Gaba (2014,VCU)",66,d,.50,.50,105,d,-.07,.39,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #68,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,32,yes,yes,174
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Swol (2014,Wisc)",66,d,.50,.50,95,d,-.03,.41,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #69,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,33,yes,yes,175
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Wichman (2014,WKU)",66,d,.50,.50,99,d,.11,.40,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #70,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,34,yes,yes,176
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","Woodzicka (2014,WL)",66,d,.50,.50,89,d,-.09,.42,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #71,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,35,yes,yes,177
flag priming,"Carter, Ferguson, & Hassin (2011) Study 2","John & Skorinko (2014,WPI)",66,d,.50,.50,86,d,.08,.43,no signal - inconsistent,exposure to US flag vs. control (photos),political views (8-issues),very close,ML1 #72,,,,,,http://travisjcarter.org/Files/Carter-etal-Long%20Term%20Flag%20Prime-PS-2011.pdf,10.1177/0956797611414726,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2011,,,,,,,,,,,,,,36,yes,yes,178
imagined contact effect,Husnu & Crisp (2010) Study 1,"Bernstein (2014,abington)",33,d,.86,.74,84,d,.11,.44,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #73,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,1,,yes,179
imagined contact effect,Husnu & Crisp (2010) Study 1,"Pilati (2014,brasilia)",33,d,.86,.74,120,d,.08,.36,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #74,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,2,,yes,180
imagined contact effect,Husnu & Crisp (2010) Study 1,"Vranka (2014,Charles)",33,d,.86,.74,84,d,-.01,.43,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #75,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,3,,yes,181
imagined contact effect,Husnu & Crisp (2010) Study 1,"Nier (2014,Conncoll)",33,d,.86,.74,95,d,.21,.41,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #76,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,4,,yes,182
imagined contact effect,Husnu & Crisp (2010) Study 1,"Rutchick (2014,CSUN)",33,d,.86,.74,96,d,.03,.40,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #77,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,5,,yes,183
imagined contact effect,Husnu & Crisp (2010) Study 1,"Cheong (2014,Help)",33,d,.86,.74,102,d,-.22,.39,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #78,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,6,,yes,184
imagined contact effect,Husnu & Crisp (2010) Study 1,"Vaughn (2014,Ithaca)",33,d,.86,.74,90,d,.68,.43,signal - consistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #79,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,7,,yes,185
imagined contact effect,Husnu & Crisp (2010) Study 1,"Kurtz (2014,JMU)",33,d,.86,.74,174,d,.18,.30,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #80,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,8,,yes,186
imagined contact effect,Husnu & Crisp (2010) Study 1,"Cemalcilar (2014,KU)",33,d,.86,.74,113,d,-.16,.38,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #81,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,9,,yes,187
imagined contact effect,Husnu & Crisp (2010) Study 1,"Packard (2014,Laurier)",33,d,.86,.74,112,d,.02,.38,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #82,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,10,,yes,188
imagined contact effect,Husnu & Crisp (2010) Study 1,"Kappes (2014,LSE)",33,d,.86,.74,277,d,.18,.24,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #83,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,11,,yes,189
imagined contact effect,Husnu & Crisp (2010) Study 1,"Huntsinger & Mallett (2014,Luc)",33,d,.86,.74,146,d,.15,.33,no signal - inconsistent,imagined contact (Muslim) vs. control,willingness to interact with Muslim (4-items),close,ML1 #84,,,,,,https://sci-hub.tw/http://www.sciencedirect.com/science/article/pii/S0022103110001307,10.1016/j.jesp.2010.05.014,http://econtent.hogrefe.com/doi/pdf/10.1027/1864-9335/a000178,https://osf.io/2gztr/,https://osf.io/xvpu3/,https://osf.io/pqf9r/,,,,,social,2010,,,,,,,,,,,,,,12,,yes,190
